Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID
17,1943-08-15,ETO,,,,B17,,,,,,,1063,FRANCE,AMIENS,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.9,2.3,240.0,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,95429.0
18,1943-08-15,ETO,,,,B17,,,,,,,1063,FRANCE,AMIENS,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.9,2.3,240.0,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,197535.0
19,1943-08-15,ETO,,,,B17,,,,,,,1063,FRANCE,AMIENS,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.9,2.3,240.0,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,197555.0
20,1943-08-15,ETO,,,,B17,,,,,,,1063,FRANCE,AMIENS,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.9,2.3,234.0,,,,,,,,,,,20.0,,,,,,,,,,20.0,,,95431.0
21,1943-08-15,ETO,,,,B17,,,,,,,1063,FRANCE,AMIENS,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.9,2.3,234.0,,,,,,,,,,,20.0,,,,,,,,,,20.0,,,197537.0
22,1943-08-15,ETO,,,,B17,,,,,,,1063,FRANCE,AMIENS,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.9,2.3,234.0,,,,,,,,,,,20.0,,,,,,,,,,20.0,,,197557.0
26,1943-08-15,ETO,,,,B17,,,,,,,1063,FRANCE,AMIENS,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.9,2.3,220.0,,,,,,,,,,,,,,,,,,,,,,,,95430.0
27,1943-08-15,ETO,,,,B17,,,,,,,1063,FRANCE,AMIENS,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.9,2.3,220.0,,,,,,,,,,,,,,,,,,,,,,,,197536.0
28,1943-08-15,ETO,,,,B17,,,,,,,1063,FRANCE,AMIENS,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.9,2.3,220.0,,,,,,,,,,,,,,,,,,,,,,,,197556.0
31,1943-08-15,ETO,,,,B17,,,,,,,45581,FRANCE,VITRY EN ARTOIS,AIRDROME,AIR FIELDS AND AIRDROMES,1,50.33,2.98,220.0,,,,,,,,,,,48.0,,,,,,,,,,48.0,,,95427.0
