Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID
119255,1944-06-01,ETO,USA,9 AF,,B26,,,,,,,23038,FRANCE,LA HAYE,GUN EMPLACEMENTS,GUN EMPLACEMENTS,,47.97,-1.33,110.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,102216.0
119256,1944-06-01,ETO,USA,9 AF,,B26,,,,,,,23038,FRANCE,LA HAYE,GUN EMPLACEMENTS,GUN EMPLACEMENTS,,47.97,-1.33,110.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,205011.0
119257,1944-06-01,ETO,USA,9 AF,,B26,,,,,,,23038,FRANCE,LA HAYE,GUN EMPLACEMENTS,GUN EMPLACEMENTS,,47.97,-1.33,11.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,205003.0
119258,1944-06-01,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,38504,FRANCE,SAUMUR,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",,47.25,-0.08,,,,,,,,,,,,42.0,,,,,,,,,,42.0,,,294963.0
119259,1944-06-01,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,38504,FRANCE,SAUMUR,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",,47.25,-0.08,,52.0,52.0,52.0,,,,,,,,248.0,,,,,,,,,,248.0,,,294964.0
119260,1944-06-01,ETO,,,,B26,,,,,,,14063,FRANCE,FLEURY LA MONTAGNE,,GUN EMPLACEMENTS,,46.2,4.13,125.0,,,,,,,,,,,12.0,,,,,,,,,,12.0,,,102214.0
119261,1944-06-01,ETO,,,,B26,,,,,,,14063,FRANCE,FLEURY LA MONTAGNE,,GUN EMPLACEMENTS,,46.2,4.13,125.0,,,,,,,,,,,12.0,,,,,,,,,,12.0,,,205001.0
119262,1944-06-01,ETO,,,,B26,,,,,,,14063,FRANCE,FLEURY LA MONTAGNE,,GUN EMPLACEMENTS,,46.2,4.13,125.0,,,,,,,,,,,12.0,,,,,,,,,,12.0,,,205009.0
119263,1944-06-01,ETO,,,,B26,,,,,,,24098,FRANCE,LE HAVRE,,GUN EMPLACEMENTS,,49.5,6.0,120.0,,,,,,,,,,,58.0,,,,,,,,,,58.0,,,102217.0
119264,1944-06-01,ETO,,,,B26,,,,,,,24098,FRANCE,LE HAVRE,,GUN EMPLACEMENTS,,49.5,6.0,120.0,,,,,,,,,,,58.0,,,,,,,,,,58.0,,,205012.0
119265,1944-06-01,ETO,,,,B26,,,,,,,2035,FRANCE,AULT,,GUN EMPLACEMENTS,,50.12,1.47,115.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,102212.0
119266,1944-06-01,ETO,,,,B26,,,,,,,2035,FRANCE,AULT,,GUN EMPLACEMENTS,,50.12,1.47,115.0,,,,,,,,,,,64.0,,,,,,,,,,64.0,,,102213.0
119267,1944-06-01,ETO,,,,B26,,,,,,,2035,FRANCE,AULT,,GUN EMPLACEMENTS,,50.12,1.47,115.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,204999.0
119268,1944-06-01,ETO,,,,B26,,,,,,,2035,FRANCE,AULT,,GUN EMPLACEMENTS,,50.12,1.47,115.0,,,,,,,,,,,64.0,,,,,,,,,,64.0,,,205000.0
119269,1944-06-01,ETO,,,,B26,,,,,,,2035,FRANCE,AULT,,GUN EMPLACEMENTS,,50.12,1.47,115.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,205007.0
119270,1944-06-01,ETO,,,,B26,,,,,,,2035,FRANCE,AULT,,GUN EMPLACEMENTS,,50.12,1.47,115.0,,,,,,,,,,,64.0,,,,,,,,,,64.0,,,205008.0
119271,1944-06-01,ETO,,,,B26,,,,,,,18794,FRANCE,HERMANVILLE,,GUN EMPLACEMENTS,,49.82,0.98,110.0,,,,,,,,,,,30.0,,,,,,,,,,30.0,,,102215.0
119272,1944-06-01,ETO,,,,B26,,,,,,,18794,FRANCE,HERMANVILLE,,GUN EMPLACEMENTS,,49.82,0.98,110.0,,,,,,,,,,,30.0,,,,,,,,,,30.0,,,205010.0
