Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,gloss_id,aircraft,name,full_name,aircraft_type,hyperlink,Avion_Nombre_Completo
125300,6/6/1944,ETO,USA,15 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,180.0,22.0,22.0,22.0,,,,,,,,36.0,,,,,,,,24.0,,60.0,,,102740.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125601,6/6/1944,ETO,USA,15 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,180.0,28.0,28.0,28.0,,,,,,,,12.0,,,,,,,,24.0,,36.0,,,102750.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125602,6/6/1944,ETO,USA,15 AF,,GB24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,180.0,22.0,22.0,22.0,,,,,,,,36.0,,,,,,,,24.0,,60.0,,,205732.0,,,,,,,GB24
125603,6/6/1944,ETO,USA,15 AF,,GB24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,180.0,28.0,28.0,28.0,,,,,,,,12.0,,,,,,,,24.0,,36.0,,,205734.0,,,,,,,GB24
125604,6/6/1944,ETO,USA,15 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,180.0,28.0,28.0,28.0,,,,,,,,12.0,,,,,,,,24.0,,36.0,,,205905.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125605,6/6/1944,ETO,USA,15 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,180.0,22.0,22.0,22.0,,,,,,,,36.0,,,,,,,,24.0,,60.0,,,205916.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125606,6/6/1944,ETO,USA,15 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,,6.0,6.0,6.0,,,,,,,,4.0,,,,,,,,5.0,,9.0,,,102739.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125607,6/6/1944,ETO,USA,15 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,,,,,,,,,,,,44.0,,,,,,,,,,44.0,,,102741.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125608,6/6/1944,ETO,USA,15 AF,,GB24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,,6.0,6.0,6.0,,,,,,,,4.0,,,,,,,,5.0,,9.0,,,205731.0,,,,,,,GB24
125609,6/6/1944,ETO,USA,15 AF,,GB24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,,,,,,,,,,,,44.0,,,,,,,,,,44.0,,,205733.0,,,,,,,GB24
125610,6/6/1944,ETO,USA,15 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,TACTICAL TARGET,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,,,,6.0,6.0,6.0,,,,,,,,4.0,,,,,,,,5.0,,9.0,,,205915.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
