Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,gloss_id,aircraft,name,full_name,aircraft_type,hyperlink,Avion_Nombre_Completo
705,7/29/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,225.0,10.0,10.0,10.0,,,,,,,,30.0,,,,,,,,,,30.0,,,106401.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
706,7/29/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,225.0,11.0,11.0,11.0,,,,,,,,33.0,,,,,,,,,,33.0,,,106402.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
707,7/29/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,225.0,10.0,10.0,10.0,,,,,,,,30.0,,,,,,,,,,30.0,,,209585.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
708,7/29/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,225.0,11.0,11.0,11.0,,,,,,,,33.0,,,,,,,,,,33.0,,,209586.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
709,7/29/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,225.0,10.0,10.0,10.0,,,,,,,,30.0,,,,,,,,,,30.0,,,209594.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
710,7/29/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,225.0,11.0,11.0,11.0,,,,,,,,33.0,,,,,,,,,,33.0,,,209595.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
715,7/29/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,217.0,11.0,11.0,11.0,,,,,,,,33.0,,,,,,,,,,33.0,,,106403.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
716,7/29/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,217.0,11.0,11.0,11.0,,,,,,,,33.0,,,,,,,,,,33.0,,,209587.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
717,7/29/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,217.0,11.0,11.0,11.0,,,,,,,,33.0,,,,,,,,,,33.0,,,209596.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
720,7/29/1944,ETO,,,,B24,,,,,,,21073,FRANCE,JUZENNECOURT,AIR FIELD,AIR FIELDS AND AIRDROMES,1,48.18,4.88,213.0,12.0,12.0,12.0,,,,,,,,24.0,,,,8.0,,,,,,32.0,,,106393.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
