,Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Airborne Aircraft,Bombing Aircraft,High Explosives Type,High Explosives Weight (Tons),Total Weight (Tons)
0,1,8/15/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SPADAFORA,38.22,15.37,20.0,20.0,500 LB GP (GP-M43/M64),10.0,10.0
1,3,8/15/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,COSENZA,39.27,16.25,18.0,36.0,500 LB GP (GP-M43/M64),9.0,9.0
2,4,8/15/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,GIOJA TAURO,38.43,15.9,15.0,15.0,500 LB GP (GP-M43/M64),7.5,7.5
3,96,8/16/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,VILLA SAN GIOVANNI,38.2,15.65,32.0,32.0,500 LB GP (GP-M43/M64),16.0,16.0
4,302,8/16/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,COSENZA,39.27,16.25,4.0,8.0,500 LB GP (GP-M43/M64),2.0,2.0
5,645,8/17/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,COSENZA,39.27,16.25,8.0,16.0,500 LB GP (GP-M43/M64),4.0,4.0
6,646,8/17/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,LA SPEZIA,44.1,9.83,6.0,12.0,500 LB GP (GP-M43/M64),3.0,3.0
7,647,8/17/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,LAMEZIA,38.92,16.25,6.0,12.0,500 LB GP (GP-M43/M64),3.0,3.0
8,997,8/18/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,BAGNARA,38.27,15.8,12.0,12.0,500 LB GP (GP-M43/M64),6.0,6.0
9,998,8/18/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SCALEA,39.85,15.78,12.0,24.0,500 LB GP (GP-M43/M64),6.0,6.0
10,1000,8/18/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,STEFANO,40.78,13.43,6.0,12.0,500 LB GP (GP-M43/M64),3.0,3.0
11,1237,8/19/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,CATANZARO,38.9,16.62,16.0,32.0,500 LB GP (GP-M43/M64),8.0,8.0
12,1238,8/19/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,COSENZA,39.27,16.25,11.5,23.0,500 LB GP (GP-M43/M64),5.75,5.75
13,1557,8/20/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,COSENZA,39.27,16.25,16.0,32.0,500 LB GP (GP-M43/M64),8.0,8.0
14,1839,8/22/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,SALERNO,40.67,14.73,22.0,44.0,500 LB GP (GP-M43/M64),11.0,11.0
15,1887,8/23/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,BATTIPAGLIA,40.62,14.97,12.0,24.0,500 LB GP (GP-M43/M64),6.0,6.0
16,1888,8/23/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,BATTIPAGLIA,40.62,14.97,6.0,12.0,500 LB GP (GP-M43/M64),3.0,3.0
17,1889,8/23/1943,MTO,USA,12 AF,27 FBG/86 FBG,A36,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,ITALY,EBOLI,40.6,15.07,6.0,12.0,500 LB GP (GP-M43/M64),3.0,3.0
